,state,district_name,candidate_name,candidate_incumbant,candidate_winner,candidate_party,candidate_votes,candidate_pct,distrcit_pct_reporting,race
131,California,District 33,Pete Aguilar,True,True,Democrat,49242,57.7,43.0,house
132,California,District 33,John Porter,False,False,Republican,36097,42.3,43.0,house
133,California,District 34,Jimmy Gomez,True,False,Democrat,44569,52.4,46.0,house
134,California,District 34,David Kim,False,False,Democrat,40440,47.6,46.0,house
135,California,District 35,Norma Torres,True,True,Democrat,47046,56.1,42.0,house
136,California,District 35,Mike Cargile,False,False,Republican,36875,43.9,42.0,house
137,California,District 36,Ted Lieu,True,True,Democrat,143406,68.2,68.0,house
138,California,District 36,Joe Collins,False,False,Republican,66883,31.8,68.0,house
139,California,District 37,Sydney Kamlager,False,True,Democrat,59280,63.4,46.0,house
140,California,District 37,Jan Perry,False,False,Democrat,34218,36.6,46.0,house
141,California,District 38,Linda Sanchez,True,True,Democrat,71194,56.0,51.0,house
142,California,District 38,Eric Ching,False,False,Republican,55890,44.0,51.0,house
143,California,District 39,Mark Takano,True,True,Democrat,57338,57.7,51.0,house
144,California,District 39,Aja Smith,False,False,Republican,42099,42.3,51.0,house
145,California,District 40,Young Kim,True,True,Republican,132922,57.8,72.0,house
146,California,District 40,Asif Mahmood,False,False,Democrat,97093,42.2,72.0,house
147,California,District 41,Ken Calvert,True,False,Republican,91215,51.6,64.0,house
148,California,District 41,Will Rollins,False,False,Democrat,85726,48.4,64.0,house
149,California,District 42,Robert Garcia,False,True,Democrat,67913,66.4,48.0,house
150,California,District 42,John Briscoe,False,False,Republican,34316,33.6,48.0,house
151,California,District 43,Maxine Waters,True,True,Democrat,67328,76.0,45.0,house
152,California,District 43,Omar Navarro,False,False,Republican,21249,24.0,45.0,house
153,California,District 44,Nanette Barragan,True,True,Democrat,69951,70.4,47.0,house
154,California,District 44,Paul Jones,False,False,Republican,29361,29.6,47.0,house
155,California,District 45,Michelle Steel,True,False,Republican,96114,53.8,67.0,house
156,California,District 45,Jay Chen,False,False,Democrat,82477,46.2,67.0,house
157,California,District 46,Lou Correa,True,True,Democrat,58241,59.6,53.0,house
158,California,District 46,Christopher Gonzales,False,False,Republican,39479,40.4,53.0,house
159,California,District 47,Katie Porter,True,False,Democrat,114392,50.6,78.0,house
160,California,District 47,Scott Baugh,False,False,Republican,111501,49.4,78.0,house
161,California,District 48,Darrell Issa,True,True,Republican,134492,60.3,79.0,house
162,California,District 48,Stephen Houlahan,False,False,Democrat,88580,39.7,79.0,house
163,California,District 49,Mike Levin,True,False,Democrat,135046,52.5,84.0,house
164,California,District 49,Brian Maryott,False,False,Republican,122250,47.5,84.0,house
165,California,District 50,Scott Peters,True,True,Democrat,155076,62.3,85.0,house
166,California,District 50,Corey Gustafson,False,False,Republican,93748,37.7,85.0,house
167,California,District 51,Sara Jacobs,True,True,Democrat,134470,61.5,81.0,house
168,California,District 51,Stan Caplan,False,False,Republican,84205,38.5,81.0,house
169,California,District 52,Juan Vargas,True,True,Democrat,92339,66.4,63.0,house
170,California,District 52,Tyler Geffeney,False,False,Republican,46730,33.6,63.0,house
171,Colorado,District 1,Diana DeGette,True,True,Democrat,214940,80.2,99.0,house
172,Colorado,District 1,Jennifer Qualteri,False,False,Republican,47074,17.6,99.0,house
173,Colorado,District 1,John Kittleson,False,False,Libertarian,5831,2.2,99.0,house
174,Colorado,District 1,Write-ins,False,False,N/A,0,0.0,99.0,house
175,Colorado,District 2,Joe Neguse,True,True,Democrat,232000,69.8,98.0,house
176,Colorado,District 2,Marshall Dawson,False,False,Republican,93929,28.2,98.0,house
177,Colorado,District 2,Steve Yurash,False,False,Other,2722,0.8,98.0,house
178,Colorado,District 2,Gary Nation,False,False,American Constitution,2047,0.6,98.0,house
179,Colorado,District 2,Tim Wolf,False,False,Unity,1825,0.5,98.0,house
180,Colorado,District 3,Lauren Boebert,True,False,Republican,162040,50.2,99.0,house
181,Colorado,District 3,Adam Frisch,False,False,Democrat,160918,49.8,99.0,house
182,Colorado,District 3,Write-ins,False,False,N/A,5,0.1,99.0,house
183,Colorado,District 4,Ken Buck,True,True,Republican,213182,60.9,99.0,house
184,Colorado,District 4,Ike McCorkle,False,False,Democrat,128116,36.6,99.0,house
185,Colorado,District 4,Ryan McGonigal,False,False,American Constitution,8723,2.5,99.0,house
186,Colorado,District 5,Doug Lamborn,True,True,Republican,154914,56.0,99.0,house
187,Colorado,District 5,David Torres,False,False,Democrat,111212,40.2,99.0,house
188,Colorado,District 5,Brian Flanagan,False,False,Libertarian,7028,2.5,99.0,house
189,Colorado,District 5,Christopher Mitchell,False,False,American Constitution,3357,1.2,99.0,house
190,Colorado,District 5,Write-ins,False,False,N/A,0,0.0,99.0,house
191,Colorado,District 6,Jason Crow,True,True,Democrat,169023,60.5,99.0,house
192,Colorado,District 6,Steven Monahan,False,False,Republican,104661,37.5,99.0,house
193,Colorado,District 6,Eric Mulder,False,False,Libertarian,5482,2.0,99.0,house
194,Colorado,District 7,Brittany Pettersen,False,True,Democrat,203688,56.4,98.0,house
195,Colorado,District 7,Erik Aadland,False,False,Republican,149620,41.4,98.0,house
196,Colorado,District 7,Ross Klopf,False,False,Libertarian,6125,1.7,98.0,house
197,Colorado,District 7,Critter Milton,False,False,Unity,1807,0.5,98.0,house
198,Colorado,District 7,Write-ins,False,False,N/A,7,0.1,98.0,house
199,Colorado,District 8,Yadira Caraveo,False,True,Democrat,112258,48.4,97.0,house
200,Colorado,District 8,Barbara Kirkmeyer,False,False,Republican,110567,47.7,97.0,house
201,Colorado,District 8,Richard Ward,False,False,Libertarian,9095,3.9,97.0,house
202,Colorado,District 8,Write-ins,False,False,N/A,0,0.0,97.0,house
203,Connecticut,District 1,John Larson,True,True,Democrat,150357,61.4,99.0,house
204,Connecticut,District 1,Larry Lazor,False,False,Republican,91537,37.4,99.0,house
205,Connecticut,District 1,Mary Sanders,False,False,Green,2846,1.2,99.0,house
206,Connecticut,District 1,Write-ins,False,False,N/A,0,0.0,99.0,house
207,Connecticut,District 2,Joe Courtney,True,True,Democrat,164857,58.2,99.0,house
208,Connecticut,District 2,Mike France,False,False,Republican,113803,40.2,99.0,house
209,Connecticut,District 2,Kevin Blacker,False,False,Green,2436,0.9,99.0,house
210,Connecticut,District 2,William Hall,False,False,Libertarian,2117,0.7,99.0,house
211,Connecticut,District 2,Write-ins,False,False,N/A,0,0.0,99.0,house
212,Connecticut,District 3,Rosa DeLauro,True,True,Democrat,140486,57.2,99.0,house
213,Connecticut,District 3,Lesley Denardis,False,False,Republican,99071,40.3,99.0,house
214,Connecticut,District 3,Amy Chai,False,False,Independent Party,4067,1.7,99.0,house
215,Connecticut,District 3,Justin Paglino,False,False,Green,1992,0.8,99.0,house
216,Connecticut,District 3,Write-ins,False,False,N/A,0,0.0,99.0,house
217,Connecticut,District 4,Jim Himes,True,True,Democrat,140260,59.4,98.0,house
218,Connecticut,District 4,Jayme Stevenson,False,False,Republican,95862,40.6,98.0,house
219,Connecticut,District 4,Write-ins,False,False,N/A,0,0.0,98.0,house
220,Connecticut,District 5,Jahana Hayes,True,True,Democrat,127830,50.4,99.0,house
221,Connecticut,District 5,George Logan,False,False,Republican,125822,49.6,99.0,house
222,Connecticut,District 5,Write-ins,False,False,N/A,0,0.0,99.0,house
223,Delaware,Delaware at large,Lisa Blunt Rochester,True,True,Democrat,178416,55.5,99.0,house
224,Delaware,Delaware at large,Lee Murphy,False,False,Republican,138201,43.0,99.0,house
225,Delaware,Delaware at large,Cody McNutt,False,False,Libertarian,3074,1.0,99.0,house
226,Delaware,Delaware at large,David Rogers,False,False,Non-Partisan,1958,0.6,99.0,house
227,Delaware,Delaware at large,Write-ins,False,False,N/A,0,0.0,99.0,house
228,Florida,District 1,Matt Gaetz,True,True,Republican,197320,67.9,99.0,house
229,Florida,District 1,Rebekah Jones,False,False,Democrat,93416,32.1,99.0,house
230,Florida,District 2,Neal Dunn,True,True,Republican,180220,59.8,99.0,house
231,Florida,District 2,Al Lawson,True,False,Democrat,121120,40.2,99.0,house
232,Florida,District 3,Kat Cammack,True,True,Republican,178010,62.4,99.0,house
233,Florida,District 3,Danielle Hawk,False,False,Democrat,103087,36.1,99.0,house
234,Florida,District 3,Linda Brooks,False,False,No Party Affiliation,4204,1.5,99.0,house
235,Florida,District 4,"Aaron Bean
FLIP",False,True,Republican,165642,60.4,99.0,house
236,Florida,District 4,LaShonda Holloway,False,False,Democrat,108345,39.5,99.0,house
237,Florida,District 4,Write-ins,False,False,N/A,65,0.1,99.0,house
238,Florida,District 5,John Rutherford,True,True,Republican,0,0.0,0.0,house
239,Florida,District 6,Michael Waltz,True,True,Republican,226536,75.3,99.0,house
240,Florida,District 6,Joe Hannoush,False,False,Libertarian,74189,24.7,99.0,house
241,Florida,District 7,"Cory Mills
FLIP",False,True,Republican,177957,58.5,99.0,house
242,Florida,District 7,Karen Green,False,False,Democrat,126052,41.5,99.0,house
243,Florida,District 7,Write-ins,False,False,N/A,0,0.0,99.0,house
244,Florida,District 8,Bill Posey,True,True,Republican,222119,64.9,99.0,house
245,Florida,District 8,Joanne Terry,False,False,Democrat,120050,35.1,99.0,house
246,Florida,District 9,Darren Soto,True,True,Democrat,108522,53.6,99.0,house
247,Florida,District 9,Scotty Moore,False,False,Republican,93815,46.4,99.0,house
248,Florida,District 10,Maxwell Frost,False,True,Democrat,117929,59.0,99.0,house
249,Florida,District 10,Calvin Wimbish,False,False,Republican,78838,39.4,99.0,house
250,Florida,District 10,Jason Holic,False,False,No Party Affiliation,2001,1.0,99.0,house
251,Florida,District 10,Usha Jain,False,False,No Party Affiliation,1110,0.6,99.0,house
252,Florida,District 11,Daniel Webster,True,True,Republican,205989,63.1,99.0,house
253,Florida,District 11,Shante Munns,False,False,Democrat,115629,35.4,99.0,house
254,Florida,District 11,Kevin Porter,False,False,No Party Affiliation,4967,1.5,99.0,house
255,Florida,District 12,Gus Bilirakis,True,True,Republican,226579,70.4,99.0,house
256,Florida,District 12,Kimberly Walker,False,False,Democrat,95368,29.6,99.0,house
257,Florida,District 12,Write-ins,False,False,N/A,74,0.1,99.0,house
258,Florida,District 13,"Anna Paulina Luna
FLIP",False,True,Republican,181473,53.1,99.0,house
259,Florida,District 13,Eric Lynn,False,False,Democrat,153839,45.1,99.0,house
260,Florida,District 13,Frank Craft,False,False,Libertarian,6158,1.8,99.0,house
261,Florida,District 13,Write-ins,False,False,N/A,330,0.1,99.0,house
262,Florida,District 14,Kathy Castor,True,True,Democrat,149689,56.9,99.0,house
263,Florida,District 14,James Judge,False,False,Republican,113408,43.1,99.0,house
264,Florida,District 15,Laurel Lee,False,True,Republican,145211,58.5,99.0,house
265,Florida,District 15,Alan Cohn,False,False,Democrat,102816,41.5,99.0,house
266,Florida,District 16,Vern Buchanan,True,True,Republican,189738,62.1,99.0,house
267,Florida,District 16,Jan Schneider,False,False,Democrat,115537,37.8,99.0,house
268,Florida,District 16,Write-ins,False,False,N/A,106,0.1,99.0,house
269,Florida,District 17,Greg Steube,True,True,Republican,222592,63.9,99.0,house
270,Florida,District 17,Andrea Kale,False,False,Democrat,123778,35.5,99.0,house
271,Florida,District 17,Theodore Murray,False,False,No Party Affiliation,2226,0.6,99.0,house
272,Florida,District 18,Scott Franklin,True,True,Republican,167278,74.4,99.0,house
273,Florida,District 18,Keith Hayden,False,False,No Party Affiliation,56587,25.2,99.0,house
274,Florida,District 18,Write-ins,False,False,N/A,1110,0.5,99.0,house
275,Florida,District 19,Byron Donalds,True,True,Republican,212992,68.0,99.0,house
276,Florida,District 19,Cindy Banyai,False,False,Democrat,100183,32.0,99.0,house
277,Florida,District 19,Write-ins,False,False,N/A,73,0.1,99.0,house
278,Florida,District 20,Sheila Cherfilus-McCormick,True,True,Democrat,136192,72.3,99.0,house
279,Florida,District 20,Drew Montez Clark,False,False,Republican,52150,27.7,99.0,house
280,Florida,District 21,Brian Mast,True,True,Republican,208592,63.5,99.0,house
281,Florida,District 21,Corinna Balderramos Robinson,False,False,Democrat,119859,36.5,99.0,house
282,Florida,District 22,Lois Frankel,True,True,Democrat,149977,55.1,99.0,house
283,Florida,District 22,Dan Franzese,False,False,Republican,122187,44.9,99.0,house
284,Florida,District 23,Jared Moskowitz,False,True,Democrat,143897,51.6,99.0,house
285,Florida,District 23,Joe Budd,False,False,Republican,130669,46.8,99.0,house
286,Florida,District 23,Christine Scott,False,False,No Party Affiliation,3079,1.1,99.0,house
287,Florida,District 23,Mark Napier,False,False,No Party Affiliation,1338,0.5,99.0,house
288,Florida,District 24,Frederica Wilson,True,True,Democrat,133425,71.8,99.0,house
289,Florida,District 24,Jesus Navarro,False,False,Republican,52445,28.2,99.0,house
290,Florida,District 25,Debbie Wasserman Schultz,True,True,Democrat,129085,55.1,99.0,house
291,Florida,District 25,Carla Spalding,False,False,Republican,105227,44.9,99.0,house
292,Florida,District 26,Mario Diaz-Balart,True,True,Republican,143227,70.9,99.0,house
293,Florida,District 26,Christine Olivo,False,False,Democrat,58852,29.1,99.0,house
294,Florida,District 27,Maria Elvira Salazar,True,True,Republican,136034,57.3,99.0,house
295,Florida,District 27,Annette Taddeo,False,False,Democrat,101381,42.7,99.0,house
296,Florida,District 28,Carlos Gimenez,True,True,Republican,134454,63.7,99.0,house
297,Florida,District 28,Robert Asencio,False,False,Democrat,76642,36.3,99.0,house
298,Florida,District 28,Write-ins,False,False,N/A,53,0.1,99.0,house
299,Georgia,District 1,Buddy Carter,True,True,Republican,156046,59.2,99.0,house
300,Georgia,District 1,Wade Herring,False,False,Democrat,107675,40.8,99.0,house
301,Georgia,District 1,Write-ins,False,False,N/A,38,0.1,99.0,house
302,Georgia,District 2,Sanford Bishop,True,True,Democrat,132509,54.9,99.0,house
303,Georgia,District 2,Chris West,False,False,Republican,108587,45.0,99.0,house
304,Georgia,District 2,Write-ins,False,False,N/A,75,0.1,99.0,house
305,Georgia,District 3,Drew Ferguson,True,True,Republican,213474,68.8,99.0,house
306,Georgia,District 3,Val Almonord,False,False,Democrat,96821,31.2,99.0,house
307,Georgia,District 3,Write-ins,False,False,N/A,147,0.1,99.0,house
308,Georgia,District 4,Hank Johnson,True,True,Democrat,215874,78.4,99.0,house
309,Georgia,District 4,Jonathan Chavez,False,False,Republican,59229,21.5,99.0,house
310,Georgia,District 4,Write-ins,False,False,N/A,286,0.1,99.0,house
311,Georgia,District 5,Nikema Williams,True,True,Democrat,243481,82.4,99.0,house
312,Georgia,District 5,Christian Zimm,False,False,Republican,51755,17.5,99.0,house
313,Georgia,District 5,Write-ins,False,False,N/A,73,0.1,99.0,house
314,Georgia,District 6,"Rich McCormick
FLIP",False,True,Republican,206752,62.2,99.0,house
315,Georgia,District 6,Bob Christian,False,False,Democrat,125459,37.8,99.0,house
316,Georgia,District 6,Write-ins,False,False,N/A,4,0.1,99.0,house
317,Georgia,District 7,Lucy McBath,True,True,Democrat,142852,61.0,99.0,house
318,Georgia,District 7,Mark Gonsalves,False,False,Republican,91195,39.0,99.0,house
319,Georgia,District 7,Write-ins,False,False,N/A,0,0.0,99.0,house
320,Georgia,District 8,Austin Scott,True,True,Republican,178663,68.6,99.0,house
321,Georgia,District 8,Darrius Butler,False,False,Democrat,81826,31.4,99.0,house
322,Georgia,District 8,Write-ins,False,False,N/A,92,0.1,99.0,house
323,Georgia,District 9,Andrew Clyde,True,True,Republican,212694,72.3,99.0,house
324,Georgia,District 9,Mike Ford,False,False,Democrat,81213,27.6,99.0,house
325,Georgia,District 9,Write-ins,False,False,N/A,76,0.1,99.0,house
326,Georgia,District 10,Mike Collins,False,True,Republican,198434,64.5,99.0,house
327,Georgia,District 10,Tabitha Johnson-Green,False,False,Democrat,109095,35.5,99.0,house
328,Georgia,District 10,Write-ins,False,False,N/A,99,0.1,99.0,house
329,Georgia,District 11,Barry Loudermilk,True,True,Republican,189572,62.7,99.0,house
330,Georgia,District 11,Antonio Daza,False,False,Democrat,112880,37.3,99.0,house
331,Georgia,District 11,Write-ins,False,False,N/A,45,0.1,99.0,house
332,Georgia,District 12,Rick Allen,True,True,Republican,157950,59.6,99.0,house
333,Georgia,District 12,Elizabeth Johnson,False,False,Democrat,107086,40.4,99.0,house
334,Georgia,District 12,Write-ins,False,False,N/A,22,0.1,99.0,house
335,Georgia,District 13,David Scott,True,True,Democrat,216255,81.8,99.0,house
336,Georgia,District 13,Caesar Gonzales,False,False,Republican,48215,18.2,99.0,house
337,Georgia,District 13,Write-ins,False,False,N/A,58,0.1,99.0,house
338,Georgia,District 14,Marjorie Taylor Greene,True,True,Republican,170004,65.8,99.0,house
339,Georgia,District 14,Marcus Flowers,False,False,Democrat,88029,34.1,99.0,house
340,Georgia,District 14,Write-ins,False,False,N/A,445,0.2,99.0,house
341,Hawaii,District 1,Ed Case,True,True,Democrat,142742,73.7,99.0,house
342,Hawaii,District 1,Conrad Kress,False,False,Republican,50833,26.3,99.0,house
343,Hawaii,District 2,Jill Tokuda,False,True,Democrat,127995,62.3,99.0,house
344,Hawaii,District 2,Joe Akana,False,False,Republican,72455,35.2,99.0,house
345,Hawaii,District 2,Michelle Tippens,False,False,Libertarian,5108,2.5,99.0,house
346,Idaho,District 1,Russ Fulcher,True,True,Republican,222893,71.3,99.0,house
347,Idaho,District 1,Kaylee Peterson,False,False,Democrat,82260,26.3,99.0,house
348,Idaho,District 1,Darian Drake,False,False,Libertarian,7274,2.3,99.0,house
